,id,Photo_ArchivalDate,Photo_Provenance,Photo_KHI_Classification,Photo_AcquisitionDate,Photo_Photographer,Art_id0,Art_id_sublevel0,Art_type0,Art_title0,Art_building_name0,Art_GeoStyle0,Art_ActualState0,Art_Artist0,Art_GeoLocation0,Art_Institution0,Art_PhysLocation_Geo0,Art_PhysLocation_Name0,Art_Date0,Art_id1,Art_id_sublevel1,Art_type1,Art_title1,Art_building_name1,Art_GeoStyle1,Art_ActualState1,Art_Artist1,Art_GeoLocation1,Art_Institution1,Art_PhysLocation_Geo1,Art_PhysLocation_Name1,Art_Date1,Art_id2,Art_id_sublevel2,Art_type2,Art_title2,Art_building_name2,Art_GeoStyle2,Art_ActualState2,Art_Artist2,Art_GeoLocation2,Art_Institution2,Art_PhysLocation_Geo2,Art_PhysLocation_Name2,Art_Date2
148275,148275,1956.11.07,,Mal. Ren.,vor 1956,Fiorentini,70013047,,Bild,Bildnis eines Goldschmiedes in drei Ansichten,,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1525/1535,,,,,,,,,,,,,,,,,,,,,,,,,,
148276,148276,1956.11.07,,Mal. Ren.,vor 1956,Fiorentini,70013047,,Bild,Bildnis eines Goldschmiedes in drei Ansichten,,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1525/1535,,,,,,,,,,,,,,,,,,,,,,,,,,
148277,148277,1956.11.07,,Mal. Ren.,vor 1956,Fiorentini,70013047,,Bild,Bildnis eines Goldschmiedes in drei Ansichten,,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1525/1535,,,,,,,,,,,,,,,,,,,,,,,,,,
13341,13341,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1897,Hanfstaengl,70013059,,Bild,Darbringung Christi im Tempel,,,,Bartolommeo (Fra),Wien,Kunsthistorisches Museum Wien,Florenz,San Marco,1516,,,,,,,,,,,,,,,,,,,,,,,,,,
13341scan,13341scan,2023.02.15,,,"['vor 1897', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",70013059,,Bild,Darbringung Christi im Tempel,,,,Bartolommeo (Fra),Wien,Kunsthistorisches Museum Wien,Florenz,San Marco,1516,,,,,,,,,,,,,,,,,,,,,,,,,,
553984,553984,2000.10.17,,Mal. Ren.,2000.04.05,"Gloc, Jan",07770246,,Altarbild,"Krönung Mariens mit den Heiligen Fina, Augustinus, Bartholus, Gimignano, Hieronymus und Nikolaus von Tolentino",,,,"Pollaiuolo, Piero di Jacopo d'Antonio Benci del",,,San Gimignano,Sant'Agostino,1483,,,,,,,,,,,,,,,,,,,,,,,,,,
256101,256101,1970.01.23,,Mal. Ren.,,,07770246,,Altarbild,"Krönung Mariens mit den Heiligen Fina, Augustinus, Bartholus, Gimignano, Hieronymus und Nikolaus von Tolentino",,,,"Pollaiuolo, Piero di Jacopo d'Antonio Benci del",,,San Gimignano,Sant'Agostino,1483,,,,,,,,,,,,,,,,,,,,,,,,,,
13284,13284,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1908,Alinari,07770246,,Altarbild,"Krönung Mariens mit den Heiligen Fina, Augustinus, Bartholus, Gimignano, Hieronymus und Nikolaus von Tolentino",,,,"Pollaiuolo, Piero di Jacopo d'Antonio Benci del",,,San Gimignano,Sant'Agostino,1483,,,,,,,,,,,,,,,,,,,,,,,,,,
13284scan,13284scan,2022.11.24,,,"['vor 1908', '2022.10.04']","['Alinari', 'Digitallabor KHI nach historischer Vorlage']",07770246,,Altarbild,"Krönung Mariens mit den Heiligen Fina, Augustinus, Bartholus, Gimignano, Hieronymus und Nikolaus von Tolentino",,,,"Pollaiuolo, Piero di Jacopo d'Antonio Benci del",,,San Gimignano,Sant'Agostino,1483,,,,,,,,,,,,,,,,,,,,,,,,,,
41829,41829,1927.08.10,,Mal. Ren.,,,07770246,,Altarbild,"Krönung Mariens mit den Heiligen Fina, Augustinus, Bartholus, Gimignano, Hieronymus und Nikolaus von Tolentino",,,,"Pollaiuolo, Piero di Jacopo d'Antonio Benci del",,,San Gimignano,Sant'Agostino,1483,,,,,,,,,,,,,,,,,,,,,,,,,,
41830,41830,1927.08.10,,Mal. Ren.,,,07770246,,Altarbild,"Krönung Mariens mit den Heiligen Fina, Augustinus, Bartholus, Gimignano, Hieronymus und Nikolaus von Tolentino",,,,"Pollaiuolo, Piero di Jacopo d'Antonio Benci del",,,San Gimignano,Sant'Agostino,1483,,,,,,,,,,,,,,,,,,,,,,,,,,
167962,167962,1960.06.15,,Mal. Ren.,,,07770246,,Altarbild,"Krönung Mariens mit den Heiligen Fina, Augustinus, Bartholus, Gimignano, Hieronymus und Nikolaus von Tolentino",,,,"Pollaiuolo, Piero di Jacopo d'Antonio Benci del",,,San Gimignano,Sant'Agostino,1483,,,,,,,,,,,,,,,,,,,,,,,,,,
13397,13397,1912,"Buerkel, Ludwig von",Mal. Ren.,1899,"Tamme, Rudolph",07858122,,Bild,Madonna des heiligen Sebastian,,,,Correggio,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1524,,,,,,,,,,,,,,,,,,,,,,,,,,
13397scan,13397scan,2023.01.19,,,"['1899', '2022.10.04']","['Tamme, Rudolph', 'Digitallabor KHI nach historischer Vorlage']",07858122,,Bild,Madonna des heiligen Sebastian,,,,Correggio,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1524,,,,,,,,,,,,,,,,,,,,,,,,,,
30302,30302,1926.02.20,"Ergas, Rudolf",Mal. Ren.,,,07858122,,Bild,Madonna des heiligen Sebastian,,,,Correggio,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1524,,,,,,,,,,,,,,,,,,,,,,,,,,
5224,5224,1906.01.20,,Mal. Ren.,vor 1906,,07858122,,Bild,Madonna des heiligen Sebastian,,,,Correggio,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1524,,,,,,,,,,,,,,,,,,,,,,,,,,
289432,289432,1973.10.12,,Mal. Ren.,vor 1900,,07858122,,Bild,Madonna des heiligen Sebastian,,,,Correggio,Dresden,Staatliche Kunstsammlungen Dresden,,,um 1524,,,,,,,,,,,,,,,,,,,,,,,,,,
13530,13530,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,70013209,,Bild,Bacchanal,,,,"Giordano, Luca",,,Rom,Villa Albani,,,,,,,,,,,,,,,,,,,,,,,,,,,
13530scan,13530scan,2023.04.14,,,"['vor 1899', '2022.10.04']","['Anderson', 'Digitallabor KHI nach historischer Vorlage']",70013209,,Bild,Bacchanal,,,,"Giordano, Luca",,,Rom,Villa Albani,,,,,,,,,,,,,,,,,,,,,,,,,,,
13657,13657,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1902,Bruckmann,70012992,,Bild,Lot mit seinen Töchtern,,,,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,1650,,,,,,,,,,,,,,,,,,,,,,,,,,
13657scan,13657scan,2023.02.02,,,"['vor 1902', '2022.10.04']","['Bruckmann', 'Digitallabor KHI nach historischer Vorlage']",70012992,,Bild,Lot mit seinen Töchtern,,,,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,1650,,,,,,,,,,,,,,,,,,,,,,,,,,
13400,13400,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,unbekannt,70013010,,Bild,Die heilige Nacht,,,,Correggio,Dresden,Gemäldegalerie Alte Meister Dresden,,,1522/1530,,,,,,,,,,,,,,,,,,,,,,,,,,
13400scan,13400scan,2023.02.06,,,"['vor 1912', '2022.10.04']","['unbekannt', 'Digitallabor KHI nach historischer Vorlage']",70013010,,Bild,Die heilige Nacht,,,,Correggio,Dresden,Gemäldegalerie Alte Meister Dresden,,,1522/1530,,,,,,,,,,,,,,,,,,,,,,,,,,
157342,157342,1958.06.26,,Mal. Ren.,vor 1958,unbekannt,70013010,,Bild,Die heilige Nacht,,,,Correggio,Dresden,Gemäldegalerie Alte Meister Dresden,,,1522/1530,,,,,,,,,,,,,,,,,,,,,,,,,,
30307,30307,1926.02.20,"Ergas, Rudolf",Mal. Ren.,vor 1906,Alinari,70013010,,Bild,Die heilige Nacht,,,,Correggio,Dresden,Gemäldegalerie Alte Meister Dresden,,,1522/1530,,,,,,,,,,,,,,,,,,,,,,,,,,
13689,13689,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1903,Brogi,70013022,,Bild,"Die heilige Theresia mit den heiligen Albert von Jerusalem, Joseph und Maria mit Kind",,,zerstört,Guercino,,,Messina,San Gregorio,1659,,,,,,,,,,,,,,,,,,,,,,,,,,
13689scan,13689scan,2023.02.09,,,"['vor 1903', '2022.10.04']","['Brogi', 'Digitallabor KHI nach historischer Vorlage']",70013022,,Bild,"Die heilige Theresia mit den heiligen Albert von Jerusalem, Joseph und Maria mit Kind",,,zerstört,Guercino,,,Messina,San Gregorio,1659,,,,,,,,,,,,,,,,,,,,,,,,,,
13366,13366,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Alinari,70013034,,Bild,Grablegung Christi,,,,"Salviati, Francesco",Florenz,"Galleria Palatina, Palazzo Pitti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13366scan,13366scan,2023.02.13,,,"['vor 1912', '2022.10.04']","['Alinari', 'Digitallabor KHI nach historischer Vorlage']",70013034,,Bild,Grablegung Christi,,,,"Salviati, Francesco",Florenz,"Galleria Palatina, Palazzo Pitti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397907,397907,1982.03.18,"Pudelko, Georg",Mal. Ren.,vor 1903,Brogi,70013034,,Bild,Grablegung Christi,,,,"Salviati, Francesco",Florenz,"Galleria Palatina, Palazzo Pitti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
