,id,Photo_ArchivalDate,Photo_Provenance,Photo_KHI_Classification,Photo_AcquisitionDate,Photo_Photographer,Art_id0,Art_id_sublevel0,Art_type0,Art_title0,Art_GeoStyle0,Art_ActualState0,Art_Artist0,Art_GeoLocation0,Art_Institution0,Art_PhysLocation_Geo0,Art_PhysLocation_Name0,Art_Date0,Art_id1,Art_id_sublevel1,Art_type1,Art_title1,Art_GeoStyle1,Art_ActualState1,Art_Artist1,Art_GeoLocation1,Art_Institution1,Art_PhysLocation_Geo1,Art_PhysLocation_Name1,Art_Date1,Art_id2,Art_id_sublevel2,Art_type2,Art_title2,Art_GeoStyle2,Art_ActualState2,Art_Artist2,Art_GeoLocation2,Art_Institution2,Art_PhysLocation_Geo2,Art_PhysLocation_Name2,Art_Date2
67,37527,1927,"Bodmer-Bodmer, D. (Frau)",Mal. Ren.,,,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,001",Gewölbebild,Gott scheidet Licht und Finsternis,,,Raffael,,,,,,,,,,,,,,,,,
68,33304,1926,"Gebhard, Fritz",Mal. Ren.,,,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,002",Gewölbebild,Gott scheidet Land und Wasser,,,Raffael,,,,,,,,,,,,,,,,,
69,33301,1926,"Gebhard, Fritz",Mal. Ren.,,,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,003",Gewölbebild,Gott erschafft die Gestirne,,,Raffael,,,,,,,,,,,,,,,,,
70,283398,1972,No Data,Mal. Ren.,,,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,004",Gewölbebild,Erschaffung der Tiere,,,,,,,,,,,,,,,,,,,,
71,37544,1927,"Bodmer-Bodmer, D. (Frau)",Mal. Ren.,,,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,004",Gewölbebild,Erschaffung der Tiere,,,,,,,,,,,,,,,,,,,,
72,13518,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,004",Gewölbebild,Erschaffung der Tiere,,,,,,,,,,,,,,,,,,,,
73,493885,1992,Offner-Corpus,Mal. Ren.,,,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,004",Gewölbebild,Erschaffung der Tiere,,,,,,,,,,,,,,,,,,,,
74,13516,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,005",Gewölbebild,Erschaffung Evas,,,Raffael,,,,,,,,,,,,,,,,,
75,37528,1927,"Bodmer-Bodmer, D. (Frau)",Mal. Ren.,,,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,006",Gewölbebild,Der Sündenfall,,,,,,,,,,,,,,,,,,,,
76,37545,1927,"Bodmer-Bodmer, D. (Frau)",Mal. Ren.,,,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,006",Gewölbebild,Der Sündenfall,,,,,,,,,,,,,,,,,,,,
77,283399,1972,"Bodmer-Bodmer, D. (Frau)",Mal. Ren.,,,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,006",Gewölbebild,Der Sündenfall,,,,,,,,,,,,,,,,,,,,
78,13515,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,007",Gewölbebild,Vertreibung aus dem Paradies,,,Raffael,,,,,,,,,,,,,,,,,
79,37529,1927,"Bodmer-Bodmer, D. (Frau)",Mal. Ren.,,,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,008",Gewölbebild,Adam und Eva bei der Arbeit,,,Raffael,,,,,,,,,,,,,,,,,
80,543776,1998,"Heikamp, Detlef",Mal. Ren.,,,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,008",Gewölbebild,Adam und Eva bei der Arbeit,,,Raffael,,,,,,,,,,,,,,,,,
81,33300,1926,"Gebhard, Fritz",Mal. Ren.,,,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,009",Gewölbebild,Konstruktion der Arche,,,,,,,,,,,,,,,,,,,,
82,37546,1927,"Bodmer-Bodmer, D. (Frau)",Mal. Ren.,,,07503992,,Zyklus,Szenen zum Alten Testament,,,Raffael,Vatikan,Palazzi Vaticani,Vatikan,Palazzi Vaticani,1517-1519,,"07503992,T,009",Gewölbebild,Konstruktion der Arche,,,,,,,,,,,,,,,,,,,,
